Heupomtrek,Geslacht
93.5,M
94.8,M
95,M
94,M
98.5,M
95.3,M
101,M
98,M
89.5,M
99.8,M
98.4,M
95,M
103,M
98,M
95,M
97,M
105,M
90.1,M
94.5,M
101.1,M
98,M
99.5,M
92.2,M
101.2,M
98.8,M
106,M
105,M
97,M
89,M
93.5,M
95,M
90,M
96.4,M
100,M
95.4,M
90,M
91.3,M
91,M
93.2,M
97,M
103.9,M
102.6,M
97.1,M
90.7,M
101.8,M
103.9,M
101.4,M
108.7,M
98.4,M
86.5,M
94.8,M
100.9,M
98,M
100.9,M
85.7,M
84.1,M
91.4,M
98,M
104.5,M
95.8,M
91.7,M
103.4,M
90,M
91.7,M
94,M
93,M
93,M
97.4,M
108.3,M
90,M
100.2,M
97.7,M
96,M
92,M
95.3,M
86.3,M
92.5,M
85.5,M
94.5,M
103,M
116.5,M
98.5,M
92,M
91.6,M
92.7,M
95,M
94.5,M
100.5,M
91.8,M
87.5,M
94.9,M
93,M
92,M
91.3,M
111.7,M
92.8,M
91.2,M
96.2,M
100,M
108.2,M
101.1,M
93,M
88.6,M
92.8,M
81.5,M
91.3,M
94.7,M
93.9,M
89.4,M
89.3,M
92.6,M
96.3,M
88,M
105.5,M
102.3,M
91.6,M
93.4,M
103.6,M
94.8,M
85.9,M
98.4,M
98.4,M
93.3,M
115.5,M
97.7,M
98.6,M
94.9,M
101.3,M
108.1,M
98,M
100.2,M
97,M
97.4,M
107.9,M
93.9,M
98.6,M
91.3,M
105.3,M
88.2,M
93.3,M
107.9,M
103.3,M
94.4,M
101.5,M
110,M
98.4,M
95,M
98.3,M
99,M
95.7,M
96,M
89.5,M
93.7,M
97,M
103.6,M
93,M
90,M
90,M
109.5,M
91.6,M
108.5,M
101.6,M
99.6,M
91.9,M
90.8,M
104.8,M
111.4,M
96.5,M
108.1,M
95.3,M
104.3,M
96.3,M
98.8,M
93.2,M
106.7,M
99.9,M
103.8,M
107.1,M
100,M
103.9,M
95.3,M
99.5,M
107,M
101.7,M
103.8,M
100.6,M
103.6,M
91.2,M
95.2,M
98.2,M
97.1,M
97.5,M
94.9,M
106.3,M
105.8,M
96.7,M
96.4,M
118.7,M
104.3,M
95.9,M
89.2,M
101.7,M
95.1,M
105,M
101.3,M
92,M
89.5,M
100.5,M
94,M
104.5,M
98,M
107.4,M
112.2,M
94.3,M
106.8,M
100.3,M
101.8,M
106.7,M
98.4,M
101.3,M
107.9,M
92.7,M
94.3,M
104.6,M
103.3,M
96.7,M
97.9,M
97.5,M
97.7,M
102.5,M
103.3,M
100.9,M
94.8,M
96.6,M
98.1,M
95.5,M
100.4,M
92,M
101.5,M
103.3,M
87.6,M
97.9,M
95.9,M
111.8,M
99.9,M
103.3,M
100.6,M
92,V
90.5,V
91,V
99.5,V
91.5,V
94,V
85.5,V
104,V
104.1,V
108.1,V
90.3,V
91.6,V
94.4,V
80.9,V
87.7,V
88.5,V
88.5,V
101,V
88.5,V
99,V
91,V
110.2,V
94.2,V
111,V
103,V
90,V
96,V
93.7,V
101.5,V
82.5,V
89,V
93.9,V
106.4,V
92,V
86,V
89.1,V
104.1,V
88,V
102.6,V
95.9,V
98.8,V
93.5,V
92.9,V
86.9,V
94.9,V
95.3,V
93.3,V
90,V
99.3,V
95.6,V
95.8,V
104.6,V
92.2,V
80.7,V
98.1,V
89.6,V
94,V
94.7,V
94.1,V
93.7,V
86.7,V
105.9,V
97.5,V
105.3,V
102.6,V
91.6,V
83.9,V
108.1,V
99.1,V
89.3,V
89.9,V
85.8,V
85.8,V
96,V
98.7,V
94.9,V
90.5,V
86.6,V
103,V
97.9,V
98.1,V
94.8,V
96.5,V
103,V
86.8,V
89.3,V
89.5,V
88.4,V
100.5,V
94,V
101.3,V
95.5,V
95.3,V
84.1,V
91,V
83.9,V
93.1,V
92.3,V
97.1,V
97.5,V
92,V
112.1,V
89.9,V
104.9,V
94.2,V
90.4,V
99.5,V
98.7,V
103.5,V
100,V
95.2,V
114,V
91.2,V
93.8,V
92,V
85.8,V
95.4,V
88.4,V
84.5,V
91.7,V
87.4,V
95.9,V
84.3,V
96.5,V
91.8,V
101,V
92.6,V
95.2,V
96,V
89.9,V
92.7,V
94.1,V
93.8,V
78.8,V
96,V
84.9,V
97.5,V
86,V
96.8,V
93.5,V
93,V
90.2,V
91.9,V
88.5,V
90.2,V
97.6,V
95,V
98,V
97.4,V
98.2,V
100,V
95.5,V
101.9,V
87.6,V
102.6,V
90.4,V
92,V
102.2,V
106.7,V
109.8,V
89.1,V
93,V
98.6,V
112.1,V
95,V
100.2,V
101.2,V
100.8,V
96.5,V
93.2,V
95.8,V
97.6,V
108.3,V
102.4,V
94.3,V
96.5,V
94,V
106.2,V
98.6,V
89.3,V
106.9,V
91.9,V
89.1,V
95.5,V
101.1,V
98.9,V
83.3,V
94,V
100.1,V
93.8,V
103.9,V
93.5,V
90.2,V
100.2,V
109.5,V
97.6,V
96.9,V
90.3,V
94.8,V
92.7,V
108.4,V
94.7,V
90.6,V
90.8,V
96.7,V
101.2,V
94.7,V
87,V
103.6,V
107.5,V
96.1,V
97.6,V
100.2,V
91.6,V
94.7,V
107,V
86.3,V
97.8,V
107.9,V
103.3,V
94.9,V
95.1,V
104.9,V
96.3,V
90.4,V
92.8,V
128.3,V
87.6,V
107.2,V
112,V
94,V
102.7,V
92,V
98.4,V
103.5,V
96.7,V
90.6,V
92,V
90.4,V
96.7,V
94.9,V
95.5,V
88.4,V
97.8,V
95.4,V
97.7,V
84.6,V
91.6,V
103.3,V
96.3,V
93.5,V
104.3,V
96.3,V
98.3,V
112.1,V
101,V
89.5,V
86.9,V
98.6,V
102.2,V
